City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,33,13.67,light rain
180,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,59.49,95,78,9.19,broken clouds
181,Almeirim,BR,-1.5233,-52.5817,72.84,97,27,2.53,scattered clouds
182,Akyab,MM,20.15,92.9,86.02,63,10,7.31,clear sky
183,Vao,NC,-22.6667,167.4833,71.49,71,100,17.43,overcast clouds
184,Nanakuli,US,21.3906,-158.1547,75.87,71,12,5.88,few clouds
185,Santa Ana,US,33.7456,-117.8678,78.06,53,0,1.74,clear sky
186,Sinnamary,GF,5.3833,-52.95,76.89,90,59,7.78,broken clouds
187,Lagoa,PT,39.05,-27.9833,64.17,57,100,34.29,overcast clouds
188,Ndjole,GA,-0.1783,10.7649,75.42,96,100,1.14,light rain
189,Hilo,US,19.7297,-155.09,78.28,93,55,1.99,broken clouds
190,Lompoc,US,34.6391,-120.4579,76.78,86,0,4.61,clear sky
191,Ancud,CL,-41.8697,-73.8203,45.88,94,18,0.56,few clouds
192,Saldanha,ZA,-33.0117,17.9442,59.05,64,7,7.74,clear sky
193,Henties Bay,NA,-22.116,14.2845,62.17,80,1,5.28,clear sky
194,Kavieng,PG,-2.5744,150.7967,83.17,71,46,11.48,scattered clouds
195,Norman Wells,CA,65.282,-126.8329,37.44,87,75,6.91,broken clouds
196,Inhambane,MZ,-23.865,35.3833,84.18,54,40,11.5,scattered clouds
197,Ostrovnoy,RU,68.0531,39.5131,36.34,95,100,19.84,light rain
198,Tatarsk,RU,55.219,75.9828,48.29,50,100,15.43,overcast clouds
199,Chuy,UY,-33.6971,-53.4616,59.5,95,94,9.24,overcast clouds
200,Butaritari,KI,3.0707,172.7902,81.79,70,13,13.33,few clouds
201,Brigham City,US,41.5102,-112.0155,57.27,39,1,8.99,clear sky
202,Ponta Do Sol,PT,32.6667,-17.1,71.71,79,100,11.7,overcast clouds
203,Upernavik,GL,72.7868,-56.1549,23.11,87,100,12.41,light snow
204,Lata,PT,40.1629,-8.3327,66.81,85,100,15.17,overcast clouds
205,Kakching,IN,24.4833,93.9833,80.38,76,14,3.02,few clouds
206,Grand Gaube,MU,-20.0064,57.6608,77.4,58,100,10.0,overcast clouds
207,Alofi,NU,-19.0595,-169.9187,75.09,88,100,4.61,overcast clouds
208,Hualmay,PE,-11.0964,-77.6139,60.01,89,94,8.72,overcast clouds
209,Dikson,RU,73.5069,80.5464,25.84,94,100,22.68,snow
210,San Jose,US,37.3394,-121.895,71.71,59,0,1.99,clear sky
