City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Tigil,RU,2022-10-15 06:00:25,57.8,158.6667,35.22,85,100,4.45
130,Cap Malheureux,MU,2022-10-15 06:00:26,-19.9842,57.6142,74.46,66,10,11.01
131,Bourail,NC,2022-10-15 06:00:26,-21.5667,165.4833,72.57,59,44,10.6
132,Lompoc,US,2022-10-15 06:00:27,34.6391,-120.4579,64.02,98,100,3.44
133,Upernavik,GL,2022-10-15 05:56:10,72.7868,-56.1549,22.91,92,99,5.93
134,Mugur-Aksy,RU,2022-10-15 06:00:28,50.35,90.5,37.76,27,9,4.56
135,Tuktoyaktuk,CA,2022-10-15 06:00:28,69.4541,-133.0374,28.27,77,100,20.78
136,Hermanus,ZA,2022-10-15 05:57:18,-34.4187,19.2345,57.79,87,100,18.37
137,Caravelas,BR,2022-10-15 06:00:29,-17.7125,-39.2481,71.42,89,8,5.35
138,Semey,KZ,2022-10-15 06:00:30,50.4111,80.2275,59.22,23,0,4.47
139,Bhawanipatna,IN,2022-10-15 06:00:45,19.9,83.1667,84.33,71,23,2.55
140,Barentu,ER,2022-10-15 06:00:46,15.1139,37.5928,82.56,39,12,4.41
141,Ponta Do Sol,PT,2022-10-15 06:00:46,32.6667,-17.1,70.43,69,65,4.25
142,Naze,JP,2022-10-15 06:00:47,28.3667,129.4833,77.31,85,100,14.16
143,Cabo San Lucas,MX,2022-10-15 05:57:30,22.8909,-109.9124,76.51,80,26,8.01
144,Sijunjung,ID,2022-10-15 06:00:47,-0.6876,100.9537,84.81,74,83,2.89
145,Vaini,TO,2022-10-15 06:00:48,-21.2,-175.2,75.92,71,19,9.51
146,Norman Wells,CA,2022-10-15 06:00:48,65.282,-126.8329,14.47,91,13,1.74
147,Netrakona,BD,2022-10-15 06:00:48,24.8833,90.7167,87.4,58,0,4.38
148,Ossora,RU,2022-10-15 06:00:49,59.2353,163.0719,36.25,82,97,3.09
149,Angoram,PG,2022-10-15 06:00:49,-4.0625,144.0661,86.36,63,75,6.44
150,Svetlaya,RU,2022-10-15 06:00:50,46.5389,138.3297,55.26,73,51,3.2
151,Guerrero Negro,MX,2022-10-15 06:00:50,27.9769,-114.0611,66.78,75,13,9.6
152,Tres Lagoas,BR,2022-10-15 05:56:55,-20.7511,-51.6783,70.75,72,8,12.44
153,Matara,LK,2022-10-15 06:00:51,5.9485,80.5353,82.9,75,83,11.72
154,The Valley,AI,2022-10-15 05:56:20,18.217,-63.0578,81.82,75,63,14.83
155,Deputatskiy,RU,2022-10-15 05:56:18,69.3,139.9,3.78,94,96,5.3
156,Defiance,US,2022-10-15 06:00:08,41.3334,-84.45,53.08,83,100,12.12
157,Yuzhnyy,RU,2022-10-15 06:00:14,53.2542,83.6936,44.98,42,0,4.47
158,Lewistown,US,2022-10-15 05:58:02,40.5992,-77.5714,50.18,100,100,0.0
159,Acapulco,MX,2022-10-15 05:59:53,16.8634,-99.8901,78.28,89,42,4.18
160,San Carlos De Bariloche,AR,2022-10-15 05:57:33,-41.1456,-71.3082,45.45,48,0,5.75
161,Khvalynsk,RU,2022-10-15 06:00:52,52.4906,48.1058,43.07,65,83,8.19
162,Grindavik,IS,2022-10-15 06:00:53,63.8424,-22.4338,36.07,80,75,26.46
163,Yatsuo,JP,2022-10-15 06:00:53,36.5667,137.1333,71.26,71,65,7.0
164,Viedma,AR,2022-10-15 06:00:53,-40.8135,-62.9967,46.06,68,0,11.7
165,Naco,MX,2022-10-15 06:00:54,31.3347,-109.9483,64.49,61,100,5.12
166,Quatre Cocos,MU,2022-10-15 06:00:54,-20.2078,57.7625,77.11,68,39,16.58
167,Port Hedland,AU,2022-10-15 05:49:49,-20.3167,118.5667,87.85,16,4,14.97
168,Fairbanks,US,2022-10-15 05:57:25,64.8378,-147.7164,24.82,83,1,4.94
169,Moose Factory,CA,2022-10-15 06:00:55,51.2585,-80.6094,41.5,81,67,7.65
170,Tornio,FI,2022-10-15 06:00:55,65.8481,24.1466,46.42,93,99,11.34
171,Iracoubo,GF,2022-10-15 06:00:56,5.4802,-53.2011,78.22,88,40,8.1
172,Katsuura,JP,2022-10-15 06:00:57,35.1333,140.3,72.52,76,96,16.26
173,Chuy,UY,2022-10-15 05:55:00,-33.6971,-53.4616,52.23,76,56,7.63
174,Port Elizabeth,ZA,2022-10-15 05:57:30,-33.918,25.5701,62.89,86,100,12.66
175,Portland,US,2022-10-15 05:56:44,45.5234,-122.6762,69.08,59,7,4.0
176,Narsaq,GL,2022-10-15 05:55:04,60.9167,-46.05,24.28,64,69,5.66
177,Manzil Salim,TN,2022-10-15 06:00:57,35.8567,8.4765,61.36,64,19,2.48
178,Carberry,CA,2022-10-15 06:00:57,49.8689,-99.3602,45.39,54,81,12.86
179,Udachnyy,RU,2022-10-15 06:00:58,66.4167,112.4,28.45,79,98,10.96
180,Coihaique,CL,2022-10-15 05:58:46,-45.5752,-72.0662,45.21,75,0,5.75
181,Kavaratti,IN,2022-10-15 06:00:58,10.5669,72.642,81.41,73,81,1.28
182,Broken Hill,AU,2022-10-15 05:58:22,-31.95,141.4333,69.4,34,17,5.44
183,Nanortalik,GL,2022-10-15 06:01:14,60.1432,-45.2371,30.43,61,11,14.79
184,Dingle,PH,2022-10-15 05:52:59,10.9995,122.6711,85.17,74,77,12.01
185,Auki,SB,2022-10-15 05:52:52,-8.7676,160.7034,82.31,68,100,1.21
186,Tongchuan,CN,2022-10-15 06:01:14,35.0806,109.0897,66.31,26,98,0.96
187,Talcahuano,CL,2022-10-15 05:59:08,-36.7167,-73.1167,51.48,87,0,9.22
188,Bosaso,SO,2022-10-15 06:01:15,11.2842,49.1816,85.23,54,90,3.8
189,Namibe,AO,2022-10-15 06:01:15,-15.1961,12.1522,66.36,85,63,4.21
190,Muros,ES,2022-10-15 06:01:16,42.7762,-9.0603,64.09,94,96,9.46
191,Fowa,NG,2022-10-15 06:01:16,8.9167,6.4,72.43,96,47,0.94
192,Butaritari,KI,2022-10-15 05:54:51,3.0707,172.7902,81.82,74,89,15.19
193,Chongwe,ZM,2022-10-15 06:01:16,-15.3292,28.682,79.93,19,0,8.39
194,Provideniya,RU,2022-10-15 05:57:27,64.3833,-173.3,27.36,88,80,9.15
195,Ruwi,OM,2022-10-15 06:01:17,23.5996,58.5507,88.77,23,0,2.71
196,Ilulissat,GL,2022-10-15 06:01:17,69.2167,-51.1,23.02,74,75,3.44
197,Severo-Kurilsk,RU,2022-10-15 05:49:40,50.6789,156.125,45.84,86,27,8.95
198,Kysyl-Syr,RU,2022-10-15 06:01:18,63.8986,122.7617,26.91,78,85,6.08
199,Ciudad Real,ES,2022-10-15 06:01:18,39.0,-4.0,57.11,70,0,3.0
200,Tasiilaq,GL,2022-10-15 06:01:19,65.6145,-37.6368,30.36,55,51,7.47
201,Aykhal,RU,2022-10-15 05:52:58,66.0,111.5,23.16,93,100,17.72
202,Ostrovnoy,RU,2022-10-15 05:51:45,68.0531,39.5131,43.97,92,100,9.51
203,Barrow,US,2022-10-15 05:56:11,71.2906,-156.7887,21.22,93,100,10.36
204,Nicoya,CR,2022-10-15 06:01:20,10.1483,-85.452,74.07,96,99,2.21
